line_code	product_count	fiscal_supplier_count	products_with_stock	products_without_stock	stock_presence_pct	lifecycle_status	item_role	portal_import_rule	functional_meaning	approved_by	approval_event_id	notes	evidence_source	approval_status
NN	4	3	0	4	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
F8	4	2	0	4	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
DD	4	4	0	4	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
RE	3	3	0	3	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
E4	3	2	0	3	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
B2	3	2	0	3	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
C6	3	1	0	3	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
E1	3	1	0	3	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
LP	2	2	0	2	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
C2	2	1	0	2	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
PE	2	2	0	2	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
M7	2	1	0	2	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
A4	2	2	0	2	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
FM	2	1	0	2	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
R6	2	1	0	2	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
FS	2	2	0	2	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
S2	2	2	0	2	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
IC	2	2	0	2	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
J1	2	2	0	2	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
F7	2	1	0	2	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
LB	2	2	0	2	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
A2	1	1	0	1	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
A5	1	1	0	1	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
CS	1	1	0	1	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
GG	1	1	0	1	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
J6	1	1	0	1	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
PP	1	1	0	1	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
E8	1	1	0	1	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
N9	1	1	0	1	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
PC	1	1	0	1	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
P5	1	1	0	1	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
FE	1	1	0	1	0.0000	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
